dteday,yr,holiday,workingday,temp,atemp,hum,windspeed,casual,registered,cnt,isDaylight,isNoon,relative_temp,relative_atemp,relative_hum,relative_windspeed,Wend_RushHour_High,Wend_RushHour_Med,Wend_RushHour_Low,Wday_RushHour_High,Wday_RushHour_Med,Wday_RushHour_Low,season_fall,season_spring,season_summer,season_winter,weathersit_Acceptable,weathersit_Bad,weathersit_Chaos,weathersit_Good,mnth_1,mnth_2,mnth_3,mnth_4,mnth_5,mnth_6,mnth_7,mnth_8,mnth_9,mnth_10,mnth_11,mnth_12,weekday_6,weekday_0,weekday_1,weekday_5,weekday_4,weekday_3,weekday_2,hr_6,hr_7,hr_8,hr_9,hr_10,hr_11,hr_12,hr_13,hr_14,hr_15,hr_16,hr_17,hr_18,hr_19,hr_20,hr_21,hr_22,hr_23,hr_0,hr_1,hr_2,hr_3,hr_4,hr_5
2011-01-01,0,0,0,0.42,0.4242,0.82,0.2985,41,52,93,True,False,1.1683835032002021,1.2178164531521265,1.2487843420416154,1.3385203631207743,False,False,False,True,False,False,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0.44,0.4394,0.82,0.2836,15,52,67,True,False,1.2936219214875835,1.3334812244827003,1.1585149385075277,1.1289222365749214,False,False,False,True,False,False,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0.42,0.4242,0.88,0.2537,9,26,35,True,False,1.0011785507920339,1.0376464806838996,2.6700923757137174,0.8510502264431039,False,False,False,False,False,False,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0.42,0.4242,0.88,0.2537,6,31,37,True,False,0.9498155432769292,0.9824867081885866,2.201970953107538,0.8133800161144149,False,False,False,False,False,False,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0.4,0.4091,0.87,0.2537,11,25,36,False,False,0.7044633820976206,0.7390680160705777,1.70703108325964,0.7803777367718293,False,False,False,False,True,False,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0.4,0.4091,0.87,0.19399999999999998,3,31,34,False,False,0.6799417994728418,0.7124720850930812,1.5580668880290158,0.321807177003362,False,False,False,False,True,False,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0.4,0.4091,0.94,0.2239,11,17,28,False,False,0.6578451527041997,0.6885904175820944,2.8141309334072955,0.5337870020536766,False,False,False,False,True,False,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2011-01-01,0,0,0,0.46,0.4545,0.88,0.2985,15,24,39,False,False,1.2664798580475163,1.279644297866998,1.3304243298577474,1.076922361833226,False,False,False,False,True,False,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011-01-02,0,0,0,0.46,0.4545,0.88,0.2985,4,13,17,False,False,1.1997809517005766,1.2114257398003319,1.2561185388689058,1.0295594275759437,False,False,False,False,False,False,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2011-01-02,0,0,0,0.44,0.4394,0.94,0.2537,1,16,17,False,False,0.9372061634704956,0.9535873270660119,2.1986082243370313,0.6540347323934381,False,False,False,False,False,False,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-01-02,0,0,0,0.42,0.4242,1.0,0.2836,1,8,9,False,False,0.6978046478679023,0.7177947173475128,2.9141317481894697,0.8619909377786135,False,False,False,False,False,False,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-01-02,0,0,0,0.46,0.4545,0.94,0.19399999999999998,2,4,6,False,False,1.0955462604005073,1.1034870860598645,1.6526968900035421,0.15494876444917852,False,False,False,False,False,False,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2011-01-02,0,0,0,0.46,0.4545,0.94,0.19399999999999998,2,1,3,False,False,1.0533545815121657,1.0606608179950912,1.547536498856084,0.15219338838921953,False,False,False,False,False,False,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-01-02,0,0,0,0.42,0.4242,0.77,0.2985,0,2,2,False,False,0.6008600819757834,0.6189549697795863,-0.7755241610182404,0.9715233190394682,False,False,False,False,False,False,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-02,0,0,0,0.4,0.4091,0.76,0.19399999999999998,0,1,1,True,False,0.3776545389898978,0.40159359056964117,-0.8876246414364655,0.11737318074932984,False,False,False,False,False,False,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-02,0,0,0,0.4,0.4091,0.71,0.2239,0,8,8,True,False,0.37083853954364837,0.3942234300995624,-1.5274572047665234,0.3550077697862261,False,False,False,False,False,False,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-02,0,0,0,0.38,0.3939,0.76,0.2239,1,19,20,True,False,0.1484511436694835,0.1767214549618097,-0.7986087350563181,0.34888946429746714,False,False,False,False,False,False,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-02,0,0,0,0.36,0.3485,0.81,0.2239,7,46,53,True,False,-0.07310281373576148,-0.4645310014499705,-0.12321977813346215,0.3430779435820412,False,False,False,False,False,False,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-02,0,0,0,0.36,0.3333,0.71,0.2537,16,54,70,True,True,-0.07204700015090269,-0.6727647590421214,-1.4531473854574455,0.5864776301772804,False,False,False,True,False,False,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-02,0,0,0,0.36,0.3333,0.66,0.2985,20,73,93,True,True,-0.07103560537624275,-0.6589955845467312,-2.0460989583049685,0.9533318106336334,False,False,False,True,False,False,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-02,0,0,0,0.36,0.3485,0.66,0.1343,11,64,75,True,True,-0.07006560285157114,-0.42601888408301863,-1.9073634542710414,-0.45916271087913413,False,False,False,True,False,False,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-02,0,0,0,0.36,0.3485,0.76,0.19399999999999998,4,55,59,True,False,-0.06913424678129927,-0.4193281597946329,-0.5781643213716694,0.058385051103811,False,False,False,True,False,False,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-02,0,0,0,0.34,0.3333,0.81,0.1642,19,55,74,True,False,-0.30397390342921937,-0.6380662206901463,0.04519391665912494,-0.2005199258551149,False,False,False,True,False,False,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-02,0,0,0,0.34,0.3333,0.71,0.1642,9,67,76,True,False,-0.2997909309558268,-0.6267003877321288,-1.1984999938399459,-0.1978962923421451,False,False,False,True,False,False,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-02,0,0,0,0.34,0.3333,0.57,0.19399999999999998,7,58,65,True,False,-0.2957763519293358,-0.615924947158944,-2.8940906868429632,0.06938897858288555,False,False,False,True,False,False,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-02,0,0,0,0.36,0.3333,0.46,0.3284,10,43,53,True,False,-0.0476602683410547,-0.6056902836135796,-3.8528238573510105,1.277788621781544,False,False,False,False,False,False,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2011-01-02,0,0,0,0.32,0.2879,0.42,0.4478,1,29,30,True,False,-0.5416749916110187,-1.2900836050845468,-3.657614422967583,2.305006191898056,False,False,False,False,False,False,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2011-01-02,0,0,0,0.3,0.2727,0.39,0.3582,5,17,22,False,False,-0.7830431744621142,-1.4814850564172328,-3.409956695470868,1.3836518583954287,False,False,False,False,True,False,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2011-01-02,0,0,0,0.26,0.2273,0.44,0.3284,11,20,31,False,False,-1.2700066057118917,-2.108941582164581,-2.6006119809201103,1.0874089472625212,False,False,False,False,True,False,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2011-01-02,0,0,0,0.24,0.2121,0.44,0.2985,0,9,9,False,False,-1.4826772768596066,-2.20729242094761,-2.3946651739139164,0.8096591372132748,False,False,False,False,True,False,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2011-01-02,0,0,0,0.22,0.2273,0.47,0.1642,0,8,8,False,False,-1.6780852553566419,-1.8634213730909308,-2.0208059953907127,-0.33985899512672857,False,False,False,False,True,False,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011-01-08,0,0,0,0.18,0.19699999999999998,0.51,0.1642,1,24,25,False,False,-0.7697761845098299,-0.7090187877862266,-0.34980632285130436,-0.14200210596830462,False,False,False,False,False,False,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2011-01-08,0,0,0,0.18,0.2121,0.55,0.0896,1,15,16,False,False,-0.7660030727167846,-0.5265058623290116,-0.11996331387768727,-0.8204509564652187,False,False,False,False,False,False,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-01-08,0,0,0,0.18,0.2424,0.55,0.0,3,13,16,False,False,-0.7622850094086789,-0.16398817715341243,-0.11959172867763138,-1.6324868392666458,False,False,False,False,False,False,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-01-08,0,0,0,0.18,0.19699999999999998,0.55,0.1642,0,7,7,False,False,-0.758620667519078,-0.7051943616690252,-0.11922357539465307,-0.12607305166968608,False,False,False,False,False,False,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2011-01-08,0,0,0,0.18,0.19699999999999998,0.55,0.1642,0,1,1,False,False,-0.7550087643675506,-0.7020036508782388,-0.11885880152057667,-0.12568667749974854,False,False,False,False,False,False,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-01-08,0,0,0,0.16,0.1667,0.74,0.1642,0,5,5,False,False,-0.9782487468985712,-1.0615183669561499,0.9807398789465119,-0.12530383431271278,False,False,False,False,False,False,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011-01-08,0,0,0,0.16,0.1667,0.74,0.1642,0,2,2,False,False,-0.9725338133157171,-1.0547805580235614,0.9749961423348433,-0.12492446864873406,False,False,False,False,False,False,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-08,0,0,0,0.16,0.1818,0.74,0.1045,1,8,9,True,False,-0.9669180787376279,-0.8675595375506387,0.969352349798619,-0.6721667466557179,False,False,False,False,False,False,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-08,0,0,0,0.16,0.1818,0.93,0.1045,0,15,15,True,False,-0.9588601548953775,-0.858511291005398,2.0772471601311584,-0.682408882758389,False,False,False,False,False,False,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-08,0,0,0,0.16,0.1818,0.93,0.1045,0,20,20,True,False,-0.9524327832160182,-0.850325007768038,2.0570382444335436,-0.6928437827951438,False,False,False,False,False,False,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-08,0,0,0,0.18,0.19699999999999998,0.8,0.1642,5,56,61,True,False,-0.720934277092098,-0.6614454517881487,1.2941055836860726,-0.1445831633412977,False,False,False,False,False,False,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-08,0,0,0,0.2,0.1818,0.69,0.3881,2,60,62,True,True,-0.49103325540503523,-0.8351395476772469,0.662253985054356,1.9589799767345402,False,False,False,True,False,False,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-08,0,0,0,0.2,0.1818,0.59,0.3582,8,90,98,True,True,-0.48800942751079623,-0.8263816904972358,0.09389515770588044,1.6506651458979895,False,False,False,True,False,False,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-08,0,0,0,0.2,0.1818,0.44,0.3284,7,95,102,True,True,-0.484993634290442,-0.8193793630071455,-0.7602744816615314,1.3472550788890976,False,False,False,True,False,False,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-08,0,0,0,0.2,0.1667,0.32,0.4925,12,83,95,True,False,-0.4834158567054815,-0.990007537373253,-1.4408769121137475,2.8762383325433345,False,False,False,True,False,False,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-08,0,0,0,0.2,0.1667,0.32,0.4478,5,69,74,True,False,-0.4834158567054815,-0.9807790067904631,-1.4256136601752922,2.392482234964704,False,False,False,True,False,False,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-08,0,0,0,0.18,0.1364,0.29,0.4478,8,68,76,True,False,-0.7046049880132015,-1.3264300390675092,-1.5796410488641734,2.3499595004140064,False,False,False,True,False,False,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-08,0,0,0,0.16,0.1212,0.37,0.5522,5,64,69,True,False,-0.9201891881377968,-1.4887380799224053,-1.099611158524306,3.262420789067786,False,False,False,True,False,False,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-08,0,0,0,0.14,0.1212,0.39,0.2985,3,52,55,True,False,-1.1352714031158293,-1.4731368428112666,-0.972026985993874,0.9032542319682488,False,False,False,False,False,False,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2011-01-08,0,0,0,0.14,0.1212,0.36,0.2537,4,26,30,True,False,-1.1223792889284503,-1.4535622275267817,-1.1335623542449678,0.5053161909686661,False,False,False,False,False,False,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2011-01-08,0,0,0,0.12,0.1212,0.36,0.2537,0,28,28,False,False,-1.3413118451191166,-1.4427288444977662,-1.120357206688815,0.5074052410751959,False,False,False,False,True,False,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2011-01-08,0,0,0,0.12,0.1061,0.39,0.3582,2,35,37,False,False,-1.337213910479289,-1.6185033192028577,-0.9344387989585934,1.4381272354641421,False,False,False,False,True,False,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2011-01-08,0,0,0,0.12,0.1061,0.36,0.3881,1,33,34,False,False,-1.334036436921161,-1.613129757886034,-1.095904542927712,1.692168469167068,False,False,False,False,True,False,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2011-01-08,0,0,0,0.1,0.0606,0.39,0.4478,0,22,22,False,False,-1.566014681681697,-2.1626302152253993,-0.910477195254117,2.2015573249583724,False,False,False,False,True,False,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011-01-09,0,0,0,0.1,0.0758,0.42,0.3881,1,24,25,False,False,-1.5557064564661578,-1.9539996349203805,-0.7265848540148686,1.6495385014038573,False,False,False,False,False,False,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2011-01-09,0,0,0,0.1,0.0606,0.42,0.4627,0,12,12,False,False,-1.5502031099158524,-2.1305473605134098,-0.7171710177037637,2.276869235045537,False,False,False,False,False,False,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-01-09,0,0,0,0.1,0.0606,0.46,0.4627,0,11,11,False,False,-1.541547324669259,-2.1112553360728,-0.4730994642329421,2.2333534163937165,False,False,False,False,False,False,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
